# 8호선 환승 문 위치
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보
# source-revision: r697
# source-url: https://namu.wiki/w/수도권 전철 환승 정보
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 이 디렉토리의 파일만 위 라이선스를 따른다. 저장소의 코드에는 적용되지 않는다
# (DESIGN.md 2.3.2).
#
# 컬럼
#   역           : 이 노선의 역명
#   열차방면     : 지금 타고 있는 열차가 가는 쪽. 비면 방향과 무관하다.
#   환승노선     : 갈아탈 노선. 여럿이면 슬래시로 잇는다.
#   환승노선방면 : 갈아탄 뒤 갈 쪽. 비면 어느 쪽으로 가든 같은 문이다.
#   칸           : 앞에서부터 센 객차 번호
#   문           : 그 객차에서 앞에서부터 센 출입문 번호
#
# 칸과 문이 둘 다 * 이면 어느 문에서 내려도 된다. 4~7 과 1~4 처럼 물결로 이으면 4-1 부터
# 7-4 까지 이어진 모든 문이다. 같은 승강장 건너편에서 갈아타는 역이 그렇다.
#
# 역은 노선 순서대로 적는다. 그 순서가 그대로 화면 순서가 되고, 어긋나면 기동이 실패한다.
역,열차방면,환승노선,환승노선방면,칸,문
별내,,경춘선,,4,4
구리,,경의중앙선,,2,2
구리,,경의중앙선,,5,3
천호,모란,5호선,하남검단산/마천,5,2
천호,모란,5호선,방화,6,1
천호,별내,5호선,하남검단산/마천,2,2
천호,별내,5호선,방화,1,3
잠실,모란,2호선,,1,1
잠실,별내,2호선,,6,4
석촌,모란,9호선,,1,1
석촌,별내,9호선,,6,4
가락시장,모란,3호선,,1,1
가락시장,별내,3호선,,6,4
복정,모란,수인분당선,,3,2
복정,별내,수인분당선,,4,2
모란,,수인분당선,,1,1
